,dateSold,propertyType,lotAreaValue,address,daysOnZillow,price,listingDateTime,longitude,latitude,contingentListingType,listingStatus,zpid,imgSrc,livingArea,bathrooms,lotAreaUnit,country,currency,bedrooms,hasImage,listingSubType.is_FSBA,newConstructionType,listingSubType.is_newHome,listingSubType.is_openHouse
21,,SINGLE_FAMILY,5423.0,"25 Rothean Dr, Whitby, ON L1P 1L5",-1,1188000,,-78.967926,43.879303,,FOR_SALE,2062663717,https://photos.zillowstatic.com/fp/628611da94d1c92015cf7a0efad5de55-p_e.jpg,,4,sqft,CAN,CAD,3,True,True,,,True
22,,SINGLE_FAMILY,,"6 Robert Attersley Dr W, Whitby, ON L1R 3B1",-1,899999,,-78.961105,43.922405,,FOR_SALE,2063090083,https://photos.zillowstatic.com/fp/92f3a5986f3aefe99a9972e459769f75-p_e.jpg,,4,,CAN,CAD,3,True,True,,,
23,,SINGLE_FAMILY,,"412 Prince Of Wales Dr, Whitby, ON L1N 6M9",-1,899900,,-78.91566,43.894524,,FOR_SALE,2062745561,https://photos.zillowstatic.com/fp/8941dc16cbe6120d04f7219e2c585080-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
24,,SINGLE_FAMILY,,"334 Cochrane St, Whitby, ON L1N 5J3",-1,4449000,,-78.95547,43.88502,,FOR_SALE,2064160731,https://photos.zillowstatic.com/fp/e6cec4164339d2e848224dd4e54cb3e8-p_e.jpg,,8,,CAN,CAD,4,True,,BUILDER_SPEC,True,
25,,SINGLE_FAMILY,,"525 Reynolds St, Whitby, ON L1N 6H4",-1,999900,,-78.93365,43.875725,,FOR_SALE,2062658844,https://photos.zillowstatic.com/fp/16a242a439f4a7baa243a03764cb0676-p_e.jpg,,3,,CAN,CAD,4,True,True,,,
26,,SINGLE_FAMILY,,"20 Auckland Dr, Whitby, ON L1P 0G6",-1,1500000,,-78.97887,43.893806,,FOR_SALE,2062653286,https://photos.zillowstatic.com/fp/d44d6f8d89f10096c2e87fee8389598d-p_e.jpg,,5,,CAN,CAD,3,True,True,,,
27,,SINGLE_FAMILY,,"37 Mount Pleasant Ave, Whitby, ON L1N 0C9",-1,999900,,,,,FOR_SALE,2065713506,https://photos.zillowstatic.com/fp/b40e8c65500aa8317c2a25afcb7fcd50-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
28,,SINGLE_FAMILY,,"11 Houghton Ct, Whitby, ON L1N 8Z6",-1,899900,,-78.938835,43.885715,,FOR_SALE,2062754548,https://photos.zillowstatic.com/fp/dd6859aa6602491fa47e88d76cbf771c-p_e.jpg,,3,,CAN,CAD,3,True,True,,,
29,,SINGLE_FAMILY,,"232 Stonemanor Ave, Whitby, ON L1R 1X9",-1,1249999,,-78.94886,43.915035,,FOR_SALE,2062658860,https://photos.zillowstatic.com/fp/bb352ed8dad4bd48036aae25901dbb92-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
30,,SINGLE_FAMILY,2700.0,"35 Auckland Dr, Whitby, ON L1P 0H4",-1,1399000,,-78.97964,43.893513,,FOR_SALE,2062657470,https://photos.zillowstatic.com/fp/0bd67eb4cf91f62a25ab955afbb194b0-p_e.jpg,2125.0,3,sqft,CAN,CAD,4,True,True,,,
31,,SINGLE_FAMILY,4059.0,"18 Roma Dr, Whitby, ON L1P 0A6",-1,1000000,,-78.97619,43.901196,,FOR_SALE,2062971691,https://photos.zillowstatic.com/fp/18a46f62408a78ef76f0cfcb2d510271-p_e.jpg,,4,sqft,CAN,CAD,4,True,True,,,
32,,SINGLE_FAMILY,,"300 Rosedale Dr, Whitby, ON L1N 1Z3",-1,749900,,-78.92516,43.880646,,FOR_SALE,2062671874,https://photos.zillowstatic.com/fp/246ad458d8961751b916d4356a49b2bd-p_e.jpg,,2,,CAN,CAD,3,True,True,,,
33,,SINGLE_FAMILY,,"26 Rosemarie Cres, Whitby, ON L1M 1G6",-1,999000,,-78.94872,43.96572,,FOR_SALE,2064077446,https://photos.zillowstatic.com/fp/6e9a694a34c473393e5b5eac8ec31496-p_e.jpg,,4,,CAN,CAD,4,True,True,,,
34,,SINGLE_FAMILY,,"66 Point Hope Pl, Whitby, ON L1N 9P9",-1,999900,,-78.95209,43.858047,,FOR_SALE,2063038606,https://photos.zillowstatic.com/fp/0198740c9badf239c19b0e14df262fb2-p_e.jpg,,3,,CAN,CAD,3,True,True,,,
35,,SINGLE_FAMILY,,"26 Daines Dr, Whitby, ON L1R 2E7",-1,1599900,,-78.91772,43.91098,,FOR_SALE,2062644537,https://photos.zillowstatic.com/fp/8d03790b81468e66fc32596cd442d9f9-p_e.jpg,,5,,CAN,CAD,4,True,True,,,
36,,SINGLE_FAMILY,3902.0,"43 Norista St, Whitby, ON L1R 3R3",-1,1100000,,-78.96311,43.924656,,FOR_SALE,2062702263,https://photos.zillowstatic.com/fp/6bcffa9f9e53eaa83236f891a98bce22-p_e.jpg,,3,sqft,CAN,CAD,3,True,True,,,True
37,,SINGLE_FAMILY,,"15 Pheasant St, Whitby, ON L1N 7E7",-1,899000,,-78.937164,43.8895,,FOR_SALE,2062922698,https://photos.zillowstatic.com/fp/9d505b6b61926ad0f65c5b60284c2b97-p_e.jpg,,3,,CAN,CAD,4,True,True,,,
38,,SINGLE_FAMILY,,"53 Splendor Dr, Whitby, ON L1P 1X5",-1,1799900,,-78.971954,43.911274,,FOR_SALE,2063505021,https://photos.zillowstatic.com/fp/9cfad699fbffdb97b91311552aa7e0e1-p_e.jpg,,4,,CAN,CAD,5,True,True,,,
39,,SINGLE_FAMILY,,"226 Fallingbrook St, Whitby, ON L1R 2B1",-1,999900,,-78.94578,43.917645,,FOR_SALE,2062644539,https://photos.zillowstatic.com/fp/f6098d98c3f83b9015d61c7bf0a999aa-p_e.jpg,,2,,CAN,CAD,2,True,True,,,
